"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0500000US36067","Onondaga County, New York","462872","*****","368328","816","52912","1086","2568","298","17041","462","162","100","4990","668","16871","1165","1484","346","15387","1137"
"0500000US36069","Ontario County, New York","109511","*****","101371","334","2769","242","388","165","1501","175","36","46","1582","334","1864","328","291","158","1573","285"
"0500000US36071","Orange County, New York","380085","*****","281683","2114","41779","1265","1482","361","10280","468","298","149","31086","2060","13477","1113","3988","751","9489","958"
"0500000US36073","Orleans County, New York","40904","*****","36345","262","2383","154","136","51","250","60","0","25","797","265","993","225","38","39","955","220"
"0500000US36075","Oswego County, New York","118339","*****","113114","299","1352","194","178","56","884","129","32","31","601","243","2178","243","123","82","2055","228"
"0500000US36077","Otsego County, New York","59972","*****","56036","188","1303","189","92","66","814","77","6","11","430","134","1291","167","259","106","1032","126"
"0500000US36079","Putnam County, New York","98787","*****","85846","736","3030","316","203","107","2039","173","23","24","5590","792","2056","388","483","215","1573","341"
"0500000US36081","Queens County, New York","2287388","*****","875191","5983","418429","2510","10326","895","583459","2276","1078","360","316141","6062","82764","3617","30892","2094","51872","2643"
"0500000US36083","Rensselaer County, New York","159185","*****","137002","398","10268","528","228","164","4282","252","13","18","1675","389","5717","603","295","135","5422","599"
"0500000US36085","Richmond County, New York","474893","*****","352034","2013","48958","1315","1026","346","44246","589","219","122","17548","1742","10862","1122","2112","401","8750","1067"
"0500000US36087","Rockland County, New York","324422","*****","229240","1786","39845","1007","524","155","19099","524","27","33","26993","2203","8694","1096","2596","558","6098","875"
